"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"168",449,"13","04","2019","Pic d'Anrodat","3","Slab","Accidental",3,3,1,0,0,"Skimo",42.6236967695409,1.68031258124558
"169",450,"11","04","2019","Arcalís","2","Point Release","Accidental",1,3,1,1,0,"Off-piste skiing",42.6187388507648,1.48793950271557
"170",219,"06","02","2019","Tuc de la Llança","2","Slab","Accidental",NA,3,3,1,0,"Skimo",42.682668,0.992107
"171",451,"03","02","2019","Sorteny","3","Slab","Accidental",3,3,3,3,0,"Skimo",42.6051262289445,1.57380358818295
"172",255,"26","01","2019","La Vinheta","3","Slab","Accidental",NA,1,1,0,1,"Off-piste skiing",42.69638,0.426964
"173",452,"26","01","2019","Grau Roig","4","Slab","Accidental",1.5,4,1,1,0,"Skimo",42.5247480423482,1.70493434443424
"174",453,"26","01","2019","Pas de la Casa","4","Slab","Accidental",1,6,1,0,0,"Off-piste skiing",42.5329707771267,1.72137184656498
"175",240,"23","12","2019","Gra de Fajol","3","Slab","Accidental",NA,2,2,2,0,"Mountaineerin",42.416553,2.247858
"176",274,"21","12","2019","Coll de la Marrana","3","Slab","Accidental",NA,1,1,0,0,"Mountaineerin",42.416979,2.242926
"177",239,"10","12","2019","Sendrosa-Aubeta","3","Slab","Accidental",NA,1,1,1,0,"Skimo",42.648235,0.946721
"178",281,"10","12","2019","Vall de Gerber","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.617175,0.983828
"179",282,"10","12","2019","Molières","3","Slab","Accidental",NA,1,1,1,0,"Skimo",42.629597,0.699121
"180",448,"10","12","2019","Arcalís","3","Slab","Accidental",2,5,2,0,0,"Off-piste skiing",42.6207283815208,1.48612659906561
"181",273,"23","11","2019","Coll de la Marrana","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.417121,2.242709
"182",230,"12","03","2020","Pic de Sudorn","2","Slab","Accidental",NA,2,2,0,0,"Skimo",42.535812,1.049188
"183",260,"10","03","2020","Tuc de Vacivèr","3","Slab","Accidental",NA,1,1,0,0,"Off-piste skiing",42.713003,0.991212
"184",268,"08","03","2020","Estany del Diable","3","Slab","Accidental",NA,1,1,0,0,"Mountainboarding",42.668246,1.194258
"185",275,"08","03","2020","Tuc de Beret","3","Slab","Accidental",NA,NA,0,0,0,"Skimo",42.723402,1.004706
"186",283,"08","03","2020","Tuc de Beret","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.723402,1.004706
"187",256,"03","03","2020","La Vinheta","3","Slab","Accidental",NA,2,2,1,1,"Freeride",42.69638,0.426964
"188",76,"23","11","2021","Orreaga, collado de Lepoeder","Unknown","Slab","Accidental",1,NA,1,0,0,"Skimo",43.026147,-1.295783
"189",90,"08","05","2021","Corredor Estasen, Aneto","No prediction","Unknown","Unknown",NA,4,4,4,0,"Mountaineerin",42.631477,0.65392
"190",89,"05","05","2021","Taillon","No prediction","Point Release","Natural",2,1,1,1,0,"Skimo",42.693829,-0.050659
"191",134,"18","04","2021","Pico Veleta","No prediction","Slab","Accidental",2,2,1,0,0,"Skimo",37.0535160217992,-3.36663823508853
"192",439,"29","03","2021","Tristaina","1","Slab","Accidental",2,16,1,0,0,"Skimo",42.6421039300865,1.48097604574109
"193",87,"20","03","2021","Locampo","2","Slab","Accidental",1,3,2,1,0,"Skimo",42.634442,0.982899
"194",88,"20","03","2021","Cap del Muntanyó d'Àrreu","2","Slab","Accidental",2,1,1,0,0,"Skimo",42.681246,0.9952
"195",85,"13","02","2021","Montjoia_Artiga de Lin","1","Slab","Accidental",2,5,2,1,0,"Mountainboarding",42.691699,0.681243
"196",86,"13","02","2021","Tort de Rius","1","Slab","Accidental",2,2,1,0,0,"Skimo",42.626284,0.81153
"197",83,"02","02","2021","Canal SW Prat del Duc inferior","1","Slab","Accidental",1,1,1,0,0,"Skimo",42.183321,1.527995
"198",84,"02","02","2021","Canal SW Prat del Duc superior","1","Slab","Accidental",1,1,1,0,0,"Skimo",42.183458,1.527979
"199",440,"02","02","2021","Port del Rat","3","Slab","Accidental",1.5,8,3,0,0,"Off-piste skiing",42.62053890514,1.47565747887162
"200",82,"31","01","2021","Estany-Mascarida","3","Slab","Accidental",2,2,2,0,0,"Mountainboarding",42.67002,1.195287
"201",80,"26","01","2021","Estació d'esquí de Luz Ardiden (tancada)","3","Slab","Unknown",2,1,1,0,1,"Skimo",42.883197,-0.064005
"202",81,"26","01","2021","Tuc de Vacivèr","2","Slab","Accidental",2,2,1,0,0,"Mountainboarding",42.715963,0.992731
"203",441,"26","01","2021","Forn de Sorteny","3","Slab","Accidental",2,3,1,0,0,"Skimo",42.6338342239433,1.58264197428954
"204",442,"24","01","2021","Montmalús","3","Slab","Accidental",2,9,2,0,0,"Skimo",42.5092484076712,1.68844689621846
"205",78,"16","01","2021","Maià","2","Slab","Accidental",2,NA,1,0,0,"Snow bike",42.547235,1.719812
"206",79,"16","01","2021","Forn (Sorteny)","2","Slab","Accidental",2,3,1,0,0,"Unknown",42.633086,1.582688
"207",443,"16","01","2021","Pic del Maià","3","Slab","Accidental",2,1,1,0,0,"Snow bike",42.5496659227588,1.7188133633706
"208",77,"12","01","2021","Pic Blanc","1","Slab","Accidental",NA,2,1,1,0,"Skimo",42.52169,1.720662
"209",444,"12","01","2021","Pic Blanc d'Envalira","2","Slab","Accidental",2,2,1,0,0,"Skimo",42.5203832280078,1.72017473783872
